,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
83,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161897/,New Immo,"Studio à vendre, Hollerich, Luxembourg",609395.0,Studio,1.0,45.0,,
84,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161899/,New Immo,"Studio à vendre, Hollerich, Luxembourg",609406.0,Studio,1.0,45.0,,
85,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161901/,New Immo,"Studio à vendre, Hollerich, Luxembourg",619675.0,Studio,1.0,46.0,,
86,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161903/,New Immo,"Studio à vendre, Hollerich, Luxembourg",619778.0,Studio,1.0,45.0,,
87,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161905/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg",696874.0,Appartement,1.0,51.0,,T
88,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161907/,New Immo,"Studio à vendre, Hollerich, Luxembourg",718720.0,Studio,,41.0,1.0,
89,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161909/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg",841565.0,Appartement,1.0,61.0,,1
90,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161911/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg",853060.0,Appartement,1.0,61.0,,2
91,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161913/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg",862034.0,Appartement,1.0,64.0,,1
92,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161915/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg",868471.0,Appartement,1.0,61.0,,3
93,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161917/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg",873223.0,Appartement,1.0,64.0,,2
94,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161919/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Hollerich, Luxembourg",887818.0,Appartement,1.0,64.0,,3
95,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161921/,New Immo,Local commercial en Vente,1300769.0,Local commercial,,109.0,,T
96,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161923/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg",1411664.0,Appartement,2.0,90.0,1.0,4
97,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161925/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg",1426285.0,Appartement,2.0,101.0,1.0,4
98,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161927/,New Immo,Local commercial en Vente,1507336.0,Local commercial,,145.0,,T
99,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161929/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg",1549888.0,Appartement,2.0,116.0,1.0,T
100,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161931/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Hollerich, Luxembourg",1687207.0,Appartement,2.0,110.0,1.0,4
101,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,https://www.immotop.lu/annonces/509623/161947/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler",932095.0,Appartement,2.0,75.0,,2
